PACK_NAME,NEW_DEFINITION,AUGMENT_DEFINITION,PARENT_DIRECTORY
Azure Express Route,TRUE,FALSE,Azure
Android,TRUE,FALSE,
Ansible,TRUE,FALSE,
Apache HTTP client,FALSE,TRUE,
AWS Elemental MediaPackage VOD,TRUE,FALSE,AWS
Azure Machine Learning Services,TRUE,FALSE,Azure
Blameless,TRUE,FALSE,
ColdFusion,TRUE,FALSE,Java
Cordova,TRUE,FALSE,
Curb,TRUE,FALSE,Ruby
Delayed_Job,TRUE,FALSE,Ruby
Excon,TRUE,FALSE,Ruby
Fluentd plugin for Logs,TRUE,FALSE,
GCP Dedicated Interconnect,TRUE,FALSE,GCP
GCP Firebase Storage,TRUE,FALSE,GCP
Glassfish,TRUE,FALSE,Java
HttpClient,TRUE,FALSE,Ruby
Inet Oracle Driver (oranxo),TRUE,FALSE,Oracle
Informix,TRUE,FALSE,
Istio,TRUE,FALSE,
Logrus,TRUE,FALSE,Golang
Micrometer,TRUE,FALSE,
MSMQ,TRUE,FALSE,.NET
OC4J,TRUE,FALSE,Java
OpenTelemetry,TRUE,FALSE,
OurSQL,TRUE,FALSE,Python
Padrino,TRUE,FALSE,Ruby
Pivotal Tracker,TRUE,FALSE,
Play WS,TRUE,FALSE,Java
Prometheus,TRUE,FALSE,
PyElasticSearch,TRUE,FALSE,Python
Quantum Metric,TRUE,FALSE,
Quartz Job Scheduler,TRUE,FALSE,Java
AWS NeptuneDB,TRUE,FALSE,AWS
GCP Firebase Hosting,TRUE,FALSE,GCP
AWS WAF,TRUE,FALSE,AWS
VMware ESXi,TRUE,FALSE,VMWare
Acts_as_solr,TRUE,FALSE,Ruby
Amazon DocumentDB,TRUE,FALSE,AWS
Amazon Linux,TRUE,FALSE,AWS
Amazon MSK,TRUE,FALSE,AWS
AWS Outposts,TRUE,FALSE,AWS
AWS Route53 Resolver,TRUE,FALSE,AWS
AWS SNS,TRUE,FALSE,AWS
AWS Step Functions,TRUE,FALSE,AWS
AWS Trusted Advisor,TRUE,FALSE,AWS
CakePHP,TRUE,FALSE,PHP
CodeIgniter,TRUE,FALSE,PHP
Collectd,TRUE,FALSE,
CXF,TRUE,FALSE,Java
Dalli,TRUE,FALSE,Ruby
Datastax Cassandra,TRUE,FALSE,
Debian,TRUE,FALSE,
Derby,TRUE,FALSE,Java
Dropwizard,TRUE,FALSE,
Dropwizard Metrics Reporter,TRUE,FALSE,
FubuMVC,TRUE,FALSE,.NET
GCP Dataflow,TRUE,FALSE,GCP
Generic JDBC,TRUE,FALSE,Java
Hibernate,TRUE,FALSE,Java
HSQL,TRUE,FALSE,Java
HTTPRouter,TRUE,FALSE,Golang
